馬名,全体過去平均着順,前走着順,出走回数,前走脚質_num,前走上がり3F,過去平均上がり3F
アアル,8.0,8.0,1,4.0,35.0,35.0
アイアゲート,8.0,8.0,1,4.0,35.0,35.0
アイアムアッパレ,10.571428571428571,6.0,8,4.0,35.0,30.0
アイアムアヒーロー,6.333333333333333,1.0,4,4.0,35.0,23.333333333333332
アイアムイチバン,6.0,3.0,8,4.0,35.0,25.0
アイアムイチリュウ,5.428571428571429,5.0,8,4.0,0.0,0.0
アイアムイブシギン,12.666666666666666,14.0,4,4.0,0.0,0.0
アイアムコロンブス,7.0,7.0,2,4.0,0.0,0.0
アイアムジャイアン,1.0,1.0,2,4.0,35.0,35.0
アイアムスゴスギル,8.0,8.0,1,4.0,35.0,35.0
アイアムステキ,3.0,1.0,3,4.0,35.0,17.5
アイアムハヤスギル,12.0,12.0,2,4.0,0.0,0.0
アイアムユウシュン,6.166666666666667,6.0,13,4.0,35.0,11.666666666666666
アイアムルンルン,9.666666666666666,11.0,4,4.0,0.0,0.0
アイアンウォール,8.6,5.0,6,4.0,0.0,0.0
アイアンオバーカム,6.818181818181818,5.0,12,4.0,35.0,9.545454545454545
アイアンクラッド,4.5,1.0,3,4.0,35.0,35.0
アイアンソリッド,4.857142857142857,8.0,15,4.0,35.0,12.5
アイアンナックル,4.75,7.0,5,4.0,35.0,17.5
アイアンバローズ,8.0,8.0,1,4.0,35.0,35.0
アイアンパイク,3.75,3.0,5,4.0,35.0,35.0
アイアンパシュート,11.333333333333334,14.0,4,4.0,0.0,0.0
アイアンブランド,12.0,13.0,4,4.0,35.0,23.333333333333332
アイアンロッキー,14.0,14.0,2,4.0,35.0,35.0
アイアンロマン,13.0,13.0,3,4.0,0.0,0.0
アイウィル,5.578947368421052,8.0,20,4.0,35.0,9.210526315789474
アイウィルビー,12.0,16.0,5,4.0,0.0,0.0
アイオブザストーム,11.6,13.0,11,4.0,35.0,3.5
アイオライト,9.0,7.0,3,4.0,0.0,0.0
アイオリア,3.7142857142857144,1.0,8,4.0,35.0,10.0
アイオロステソーロ,11.666666666666666,14.0,4,4.0,0.0,0.0
アイカチャン,13.5,13.0,5,4.0,35.0,17.5
アイカムインピース,6.5,5.0,3,4.0,0.0,0.0
アイカンアズーラ,4.8,11.0,6,4.0,35.0,35.0
アイガー,7.0,7.0,2,4.0,35.0,35.0
アイガーリー,5.25,11.0,5,4.0,35.0,35.0
アイキャンドウイッ,6.375,7.0,9,4.0,35.0,13.125
アイク,8.4,9.0,6,4.0,35.0,35.0
アイクルムズ,8.0,8.0,1,4.0,35.0,35.0
アイコンテーラー,8.0,8.0,1,4.0,35.0,35.0
アイサイト,8.333333333333334,10.0,4,4.0,35.0,11.666666666666666
アイサンサン,5.545454545454546,1.0,12,4.0,35.0,22.272727272727273
アイサーベル,8.0,8.0,1,4.0,35.0,35.0
アイザックバローズ,6.1,5.0,11,4.0,35.0,7.0
アイシュウデイト,8.0,8.0,1,4.0,35.0,35.0
アイスアイスベイビ,6.2,7.0,6,4.0,35.0,28.0
アイスアンドスノー,7.0,8.0,4,4.0,35.0,23.333333333333332
アイスグリーン,5.083333333333333,4.0,13,4.0,35.0,14.583333333333334
アイスジャイアント,4.0,4.0,2,4.0,0.0,0.0
アイスノート,8.0,8.0,1,4.0,35.0,35.0
アイスフィールド,8.454545454545455,12.0,12,4.0,35.0,3.1818181818181817
アイスブレイカー,7.894736842105263,9.0,20,4.0,35.0,9.210526315789474
アイスマン,14.0,14.0,2,4.0,0.0,0.0
アイスメルティング,5.0,8.0,3,4.0,35.0,35.0
アイスモント,4.25,2.0,13,4.0,35.0,23.333333333333332
アイスランドポピー,7.5,7.0,5,4.0,0.0,0.0
アイスリンディ,7.882352941176471,13.0,18,4.0,35.0,4.117647058823529
アイスリーディング,5.666666666666667,8.0,13,4.0,35.0,5.833333333333333
アイスヴィレッジ,8.4,12.0,6,4.0,35.0,7.0
アイズ,6.222222222222222,15.0,10,4.0,35.0,3.888888888888889
アイズミサクラ,9.666666666666666,7.0,7,4.0,35.0,11.666666666666666
アイゼンハイム,6.0,6.0,2,4.0,35.0,35.0
アイソウザスター,11.0,15.0,4,4.0,0.0,0.0
アイソラシー,14.666666666666666,17.0,4,4.0,0.0,0.0
アイソーザライト,3.5,5.0,7,4.0,0.0,0.0
アイタカ,8.666666666666666,6.0,4,4.0,0.0,0.0
アイヅワカマツ,11.0,12.0,3,4.0,0.0,0.0
アイデアユー,2.6666666666666665,3.0,4,4.0,35.0,35.0
アイトカコイトカ,15.0,15.0,2,4.0,35.0,35.0
アイトワ,8.0,8.0,1,4.0,35.0,35.0
アイドクレース,4.25,1.0,9,4.0,35.0,21.875
アイドル,5.0,10.0,12,4.0,35.0,12.727272727272727
アイドルアイズ,5.8,3.0,6,4.0,35.0,21.0
アイドルフェスタ,13.25,11.0,5,4.0,0.0,0.0
アイニードユー,3.5,3.0,7,4.0,35.0,35.0
アイノセンシ,8.615384615384615,12.0,14,4.0,0.0,0.0
アイノユメテーラー,8.0,8.0,1,4.0,35.0,35.0
アイビーイダテン,11.0,11.0,2,4.0,0.0,0.0
アイビーガオー,8.714285714285714,6.0,8,4.0,35.0,10.0
アイビーキラリ,12.333333333333334,10.0,4,4.0,35.0,23.333333333333332
アイビーサムライオ,8.0,8.0,2,4.0,0.0,0.0
アイビースピネル,15.0,16.0,4,4.0,35.0,11.666666666666666
アイビーチーキー,2.0,2.0,3,4.0,35.0,35.0
アイビーヒメチャン,5.8,16.0,6,4.0,0.0,0.0
アイビーブリッツ,9.2,4.0,6,4.0,0.0,0.0
アイビーミャーオ,9.0,4.0,4,4.0,35.0,35.0
アイファーアイドル,13.0,13.0,2,4.0,0.0,0.0
アイファーウィーク,8.0,8.0,1,4.0,35.0,35.0
アイファーエポック,7.0,7.0,9,4.0,35.0,8.75
アイファーキャップ,5.363636363636363,2.0,23,4.0,35.0,6.363636363636363
アイファーグローブ,8.117647058823529,7.0,18,4.0,35.0,8.235294117647058
アイファーサックス,16.0,16.0,2,4.0,0.0,0.0
アイファーシアトル,12.166666666666666,14.0,7,4.0,35.0,5.833333333333333
アイファーシャドー,8.125,9.0,9,4.0,35.0,8.75
アイファージェット,12.666666666666666,15.0,4,4.0,35.0,35.0
アイファースキャン,10.916666666666666,12.0,13,4.0,35.0,11.666666666666666
アイファーセラピー,10.5,10.0,3,4.0,35.0,35.0
アイファーチーター,6.0,6.0,2,4.0,0.0,0.0
アイファーテイオー,6.733333333333333,11.0,16,4.0,35.0,4.666666666666667
アイファーバトル,6.75,8.0,21,4.0,35.0,8.75
アイファーファイト,8.65,6.0,21,4.0,35.0,17.5
アイファーベア,6.666666666666667,2.0,4,4.0,0.0,0.0
アイファーマオ,12.8,15.0,6,4.0,0.0,0.0
アイファーモービル,4.428571428571429,2.0,15,4.0,35.0,25.0
アイファーリーオー,13.0,14.0,5,4.0,35.0,17.5
アイファーリーベン,14.181818181818182,11.0,12,4.0,35.0,12.727272727272727
アイファーローレル,13.0,13.0,2,4.0,0.0,0.0
アイファーヴァンズ,7.0,7.0,3,4.0,0.0,0.0
アイフィロス,11.0,15.0,5,4.0,0.0,0.0
アイブランコ,8.0,8.0,1,4.0,35.0,35.0
アイブリンク,4.777777777777778,1.0,10,4.0,35.0,31.11111111111111
アイベラ,5.666666666666667,6.0,4,4.0,0.0,0.0
アイムアクイーン,10.142857142857142,9.0,8,4.0,35.0,25.0
アイムイン,2.75,5.0,5,4.0,35.0,35.0
アイムインディ,2.5,2.0,3,4.0,35.0,35.0
アイムスティルミー,5.375,5.0,9,4.0,35.0,21.875
アイムファイン,8.0,6.0,6,4.0,0.0,0.0
アイムフィアレス,11.0,13.0,7,4.0,0.0,0.0
アイムプラウド,6.0,11.0,4,4.0,0.0,0.0
アイヨトワニ,6.4,6.0,6,4.0,35.0,7.0
アイランドピーク,8.1,16.0,11,4.0,35.0,7.0
アイリッシュパール,11.285714285714286,10.0,8,4.0,0.0,0.0
アイリュール,5.833333333333333,13.0,13,4.0,0.0,0.0
アイリータイム,13.666666666666666,13.0,4,4.0,0.0,0.0
アイリーノリチャン,12.0,12.0,2,4.0,35.0,35.0
アイルクラウン,16.0,16.0,2,4.0,0.0,0.0
アイルシャイン,3.6666666666666665,1.0,4,4.0,0.0,0.0
アイルシャンス,13.5,17.0,3,4.0,35.0,35.0
アイルトン,6.714285714285714,3.0,8,4.0,35.0,35.0
アイルトンバローズ,6.0,7.0,5,4.0,35.0,26.25
アイルドゥレーヴェ,6.0,6.0,2,4.0,35.0,35.0
アイルドリアン,6.666666666666667,4.0,7,4.0,0.0,0.0
アイルビリーヴ,7.285714285714286,5.0,8,4.0,35.0,10.0
アイルフィレール,10.5,11.0,3,4.0,35.0,17.5
アイルランズコール,5.285714285714286,3.0,8,4.0,35.0,20.0
アイレント,12.0,8.0,4,4.0,0.0,0.0
アイワカツテーラー,8.0,8.0,1,4.0,35.0,35.0
アイヲコメテ,6.125,12.0,9,4.0,0.0,0.0
アイヲツグモノ,6.666666666666667,6.0,10,4.0,35.0,11.666666666666666
アインシュペンナー,8.0,8.0,1,4.0,35.0,35.0
アインハーディ,11.333333333333334,8.0,4,4.0,0.0,0.0
アインプレーゲン,6.0,6.0,2,4.0,35.0,35.0
アインプロージット,8.0,8.0,1,4.0,35.0,35.0
アインホルン,11.75,4.0,5,4.0,35.0,26.25
アイヴォリードレス,7.5,8.0,3,4.0,0.0,0.0
アウェイキング,3.0,7.0,4,4.0,0.0,0.0
アウェイクネス,7.75,7.0,5,4.0,35.0,35.0
アウクソー,8.3125,7.0,17,4.0,35.0,17.5
アウグスト,6.166666666666667,5.0,7,4.0,0.0,0.0
アウゲンブリック,13.0,12.0,3,4.0,0.0,0.0
アウサンガテ,8.0,8.0,3,4.0,0.0,0.0
アウストラリス,6.333333333333333,6.0,13,4.0,0.0,0.0
アウスラフラッグ,9.2,7.0,6,4.0,0.0,0.0
アウスヴァール,9.625,16.0,17,4.0,35.0,6.5625
アウセンザイター,3.4,3.0,6,4.0,0.0,0.0
アウダーシア,1.6666666666666667,1.0,4,4.0,35.0,23.333333333333332
アウダース,3.5,3.0,3,4.0,0.0,0.0
アウトザロー,6.25,8.0,5,4.0,35.0,35.0
アウトセイル,10.0,8.0,5,4.0,0.0,0.0
アウトドライブ,5.875,13.0,9,4.0,35.0,13.125
アウトリュコス,16.0,16.0,2,4.0,35.0,35.0
アウトレンジ,2.3333333333333335,1.0,7,4.0,35.0,11.666666666666666
アウフヘーベン,3.8125,2.0,17,4.0,35.0,21.875
アウフヴィント,8.0,2.0,7,4.0,35.0,17.5
アウラニ,6.0,6.0,2,4.0,35.0,35.0
アウリガテソーロ,8.0,8.0,1,4.0,35.0,35.0
アウルムレガリア,9.0,10.0,8,4.0,35.0,10.0
アウロス,7.5,12.0,5,4.0,0.0,0.0
アウローラシエル,9.333333333333334,9.0,7,4.0,35.0,17.5
アウローラルミエル,8.0,7.0,4,4.0,0.0,0.0
アエリーゾ,4.75,8.0,9,4.0,0.0,0.0
アエル,6.666666666666667,4.0,4,4.0,0.0,0.0
アエログラム,8.0,8.0,1,4.0,35.0,35.0
アエロプラニーノ,10.0,10.0,3,4.0,0.0,0.0
アオイアイ,9.5,5.0,3,4.0,35.0,17.5
アオイアツヒメ,14.0,14.0,2,4.0,0.0,0.0
アオイイーグル,6.4,8.0,6,4.0,35.0,7.0
アオイウィンダム,9.2,6.0,6,4.0,35.0,7.0
アオイエクラタン,14.0,14.0,2,4.0,0.0,0.0
アオイカメリア,8.0,8.0,1,4.0,35.0,35.0
アオイコウキ,11.8,13.0,6,4.0,0.0,0.0
アオイゴールドワン,9.25,8.0,5,4.0,0.0,0.0
アオイサクラ,5.25,3.0,5,4.0,0.0,0.0
アオイシン,12.333333333333334,11.0,4,4.0,0.0,0.0
アオイタケル,4.2,2.0,6,4.0,35.0,14.0
アオイハナミチ,6.555555555555555,8.0,10,4.0,0.0,0.0
アオイハルカ,10.333333333333334,12.0,4,4.0,35.0,35.0
アオイフォトグラフ,13.5,16.0,3,4.0,35.0,17.5
アオイフォール,13.0,9.0,4,4.0,0.0,0.0
アオイミズホ,4.666666666666667,3.0,7,4.0,35.0,23.333333333333332
アオイミモザ,6.583333333333333,11.0,13,4.0,35.0,14.583333333333334
アオイメルスイ,3.9,9.0,11,4.0,35.0,3.5
アオイラリュヌ,13.5,14.0,3,4.0,0.0,0.0
アオイラン,5.666666666666667,2.0,4,4.0,0.0,0.0
アオイレーギーナ,5.888888888888889,2.0,10,4.0,35.0,35.0
アオカミ,7.266666666666667,11.0,16,4.0,35.0,14.0
アオゾラランチ,8.0,8.0,1,4.0,35.0,35.0
アオハルブルース,7.4,2.0,6,4.0,35.0,28.0
アオユウスター,8.0,8.0,1,4.0,35.0,35.0
アオラキ,10.0,10.0,2,4.0,0.0,0.0
アオレレ,7.8,5.0,6,4.0,0.0,0.0
アカイツキ,15.0,18.0,4,4.0,35.0,35.0
アカイツメ,8.0,8.0,6,4.0,0.0,0.0
アカウフリューゲル,9.5,12.0,3,4.0,35.0,35.0
アカオー,7.333333333333333,9.0,4,4.0,0.0,0.0
アカキチノイレブン,8.571428571428571,7.0,8,4.0,0.0,0.0
アカザ,7.5,5.0,9,4.0,0.0,0.0
アカツキロットリー,11.0,14.0,6,4.0,35.0,14.0
アカデミア,1.6,1.0,6,4.0,35.0,35.0
アカデミズム,15.0,15.0,2,4.0,0.0,0.0
アカノストロング,8.0,8.0,1,4.0,35.0,35.0
アカリリッキー,10.0,9.0,4,4.0,0.0,0.0
アガシ,5.090909090909091,10.0,12,4.0,35.0,15.909090909090908
アキノサザン,11.0,9.0,5,4.0,0.0,0.0
アキノビューティー,3.0,3.0,2,4.0,35.0,35.0
アキノヨナガニ,14.0,15.0,4,4.0,0.0,0.0
アキバ,8.0,8.0,1,4.0,35.0,35.0
アキミューミュー,7.142857142857143,13.0,8,4.0,35.0,5.0
アクアアイ,2.6666666666666665,3.0,4,4.0,35.0,35.0
アクアジェット,5.857142857142857,8.0,8,4.0,0.0,0.0
アクアファースト,8.0,8.0,1,4.0,35.0,35.0
アクアプローヴァ,8.0,8.0,1,4.0,35.0,35.0
アクアホワイト,8.0,8.0,1,4.0,35.0,35.0
アクアマイスター,7.166666666666667,10.0,7,4.0,35.0,35.0
アクアマリンブルー,13.166666666666666,11.0,7,4.0,35.0,5.833333333333333
アクアマリーナ,5.8,5.0,6,4.0,35.0,35.0
アクアマーズ,3.6666666666666665,6.0,4,4.0,35.0,35.0
アクアリッズ,12.0,9.0,4,4.0,35.0,23.333333333333332
アクアヴァーナル,3.5,4.0,15,4.0,35.0,22.5
アクイローネ,9.75,10.0,9,4.0,35.0,13.125
アクウィエス,9.0,9.0,2,4.0,0.0,0.0
アクシオン,8.0,8.0,2,4.0,35.0,35.0
アクシズ,8.0,5.0,4,4.0,35.0,35.0
アクシノス,6.5,9.0,5,4.0,0.0,0.0
アクシュラ,5.75,3.0,5,4.0,35.0,35.0
アクションプラン,3.8181818181818183,2.0,12,4.0,35.0,9.545454545454545
アクセス,5.0,9.0,3,4.0,35.0,35.0
アクセルギア,8.0,8.0,1,4.0,35.0,35.0
アクセルホーリー,10.666666666666666,9.0,4,4.0,0.0,0.0
アクチノータス,9.666666666666666,10.0,4,4.0,35.0,23.333333333333332
アクティブヘイロー,9.0,9.0,2,4.0,35.0,35.0
アクティングエリア,7.285714285714286,14.0,8,4.0,35.0,25.0
アクデニズ,9.125,12.0,9,4.0,35.0,8.75
アクトサージ,8.0,8.0,1,4.0,35.0,35.0
アクルクス,7.0,6.0,9,4.0,35.0,26.25
アクロスザシーズ,5.714285714285714,11.0,8,4.0,0.0,0.0
アクロスザリバー,12.571428571428571,15.0,8,4.0,35.0,5.0
アクロスメモリア,5.5,3.0,5,4.0,35.0,17.5
アクロフェイズ,7.0,16.0,5,4.0,35.0,35.0
アクロポリス,7.25,8.0,5,4.0,0.0,0.0
アクートゥス,5.375,6.0,17,4.0,35.0,13.125
アグアフレスカ,7.333333333333333,6.0,4,4.0,35.0,35.0
アグネス,14.0,13.0,3,4.0,0.0,0.0
アグネスクレスト,7.5,10.0,7,4.0,35.0,29.166666666666668
アグネスサンキ,7.0,8.0,5,4.0,0.0,0.0
アグネスヒーロー,9.333333333333334,14.0,4,4.0,0.0,0.0
アグネスブリッツ,8.0,8.0,1,4.0,35.0,35.0
アグラシアド,7.416666666666667,7.0,13,4.0,35.0,8.75
アグラード,5.5,9.0,9,4.0,35.0,13.125
アグリ,9.6,11.0,6,4.0,35.0,7.0
アグリアス,14.0,15.0,4,4.0,0.0,0.0
アグレイビューティ,5.666666666666667,3.0,4,4.0,35.0,35.0
アケノミョウジョウ,11.0,13.0,5,4.0,0.0,0.0
アケルナルスター,9.666666666666666,16.0,7,4.0,35.0,5.833333333333333
アゲンストオッズ,7.5,13.0,3,4.0,35.0,35.0
アコルダール,4.5,4.0,9,4.0,0.0,0.0
アコルドエール,10.0,10.0,2,4.0,0.0,0.0
アコークロー,5.0,6.0,10,4.0,0.0,0.0
アサアール,9.0,9.0,3,4.0,0.0,0.0
アサカラキング,7.4,18.0,16,4.0,35.0,14.0
アサガクル,10.25,8.0,5,4.0,35.0,35.0
アサギリ,8.2,15.0,16,4.0,0.0,0.0
アサクサグレース,3.9411764705882355,2.0,18,4.0,35.0,12.352941176470589
アサクサゲンキ,5.6,11.0,11,4.0,35.0,10.5
アサクサダイアナ,10.5,12.0,3,4.0,35.0,35.0
アサクサヴィーナス,6.25,10.0,13,4.0,35.0,8.75
アサヒ,11.0,16.0,14,4.0,35.0,13.461538461538462
アサマノイタズラ,14.5,13.0,3,4.0,0.0,0.0
アサリア,8.0,8.0,1,4.0,35.0,35.0
アシセバイラ,11.25,16.0,5,4.0,0.0,0.0
アシタバ,8.0,8.0,1,4.0,35.0,35.0
アシャカウイング,8.0,8.0,1,4.0,35.0,35.0
アシャカタカ,8.6,14.0,16,4.0,35.0,7.0
アシャカデュメ,13.25,16.0,5,4.0,0.0,0.0
アシャカトベ,2.6666666666666665,1.0,7,4.0,35.0,23.333333333333332
アシャカバッハ,9.5,14.0,3,4.0,35.0,17.5
アシャカブラン,8.2,11.0,11,4.0,35.0,21.0
アシャカルッカ,7.5,10.0,3,4.0,35.0,35.0
アシャカルー,10.5,9.0,3,4.0,35.0,35.0
アシャカルーク,5.833333333333333,7.0,7,4.0,0.0,0.0
アシャカロッケ,8.0,8.0,1,4.0,35.0,35.0
アショカ,6.666666666666667,3.0,4,4.0,0.0,0.0
アシレ,9.0,9.0,2,4.0,0.0,0.0
アジアノジュンシン,13.333333333333334,11.0,4,4.0,0.0,0.0
アジアノハナ,8.166666666666666,9.0,7,4.0,0.0,0.0
アジアミッション,10.2,13.0,6,4.0,35.0,35.0
アジアンテーラー,12.0,15.0,3,4.0,35.0,35.0
アジアントレジャー,5.5,10.0,3,4.0,35.0,35.0
アジアート,10.0,10.0,2,4.0,0.0,0.0
アジャイブ,13.0,14.0,4,4.0,35.0,35.0
アジャスト,11.0,11.0,3,4.0,0.0,0.0
アジュアカレンツ,6.5,4.0,5,4.0,35.0,26.25
アジュマン,5.2,2.0,11,4.0,35.0,21.0
アジーザム,7.5,8.0,3,4.0,35.0,35.0
アスカノソング,10.5,12.0,9,4.0,35.0,13.125
アスカノミライ,6.142857142857143,5.0,8,4.0,0.0,0.0
アスキステソーロ,15.0,15.0,4,4.0,35.0,11.666666666666666
アスキーアート,9.0,12.0,4,4.0,0.0,0.0
アスクアイルビゼア,3.3076923076923075,1.0,14,4.0,35.0,21.53846153846154
アスクアットバット,11.5,15.0,9,4.0,35.0,35.0
アスクアメージモア,9.875,11.0,9,4.0,35.0,13.125
アスクアーバンシー,6.5,10.0,5,4.0,35.0,8.75
アスクイキゴミ,1.5,2.0,3,4.0,35.0,35.0
アスクウルトラモア,11.333333333333334,12.0,4,4.0,35.0,35.0
アスクエジンバラ,2.857142857142857,2.0,8,4.0,35.0,25.0
アスクエピソード,7.533333333333333,7.0,16,4.0,35.0,11.666666666666666
アスクオンディープ,7.2727272727272725,1.0,12,4.0,35.0,12.727272727272727
アスクカムオンモア,4.583333333333333,2.0,13,4.0,35.0,2.9166666666666665
アスクガンバーレ,4.636363636363637,3.0,12,4.0,35.0,22.272727272727273
アスクキングコング,9.785714285714286,12.0,15,4.0,35.0,20.0
アスククラウンモア,8.0,8.0,2,4.0,35.0,35.0
アスクケンタッキー,5.75,1.0,5,4.0,35.0,35.0
アスクコモンタレヴ,4.0,2.0,18,4.0,35.0,26.764705882352942
アスクコンナモンダ,4.714285714285714,4.0,8,4.0,35.0,5.0
アスクサヴァイバル,11.0,14.0,7,4.0,0.0,0.0
アスクザアメリカン,14.0,15.0,4,4.0,35.0,35.0
アスクシュタイン,3.5,4.0,11,4.0,35.0,7.0
アスクストライク,11.666666666666666,16.0,4,4.0,0.0,0.0
アスクセクシーモア,5.111111111111111,3.0,10,4.0,35.0,15.555555555555555
アスクチャンスマン,5.142857142857143,1.0,8,4.0,35.0,35.0
アスクデッドヒート,4.4375,2.0,17,4.0,35.0,21.875
アスクデビューモア,3.7333333333333334,1.0,16,4.0,35.0,14.0
アスクドゥチャンプ,3.75,3.0,5,4.0,35.0,35.0
アスクドゥポルテ,7.357142857142857,12.0,15,4.0,35.0,5.0
アスクドゥラメンテ,9.857142857142858,9.0,8,4.0,35.0,5.0
アスクドリームモア,6.7272727272727275,12.0,12,4.0,35.0,6.363636363636363
アスクドンキバック,13.0,13.0,2,4.0,0.0,0.0
アスクナイスショー,3.857142857142857,1.0,15,4.0,35.0,10.0
アスクナサニエル,8.625,9.0,9,4.0,0.0,0.0
アスクハッピーマン,6.0,6.0,2,4.0,35.0,35.0
アスクハッピーモア,5.166666666666667,6.0,7,4.0,0.0,0.0
アスクヒロイズガイ,7.25,4.0,9,4.0,35.0,8.75
アスクビギンアゲン,9.571428571428571,15.0,15,4.0,35.0,17.5
アスクビックスター,9.461538461538462,8.0,14,4.0,35.0,8.076923076923077
アスクファイアモア,4.5,8.0,3,4.0,35.0,35.0
アスクブラボー,10.333333333333334,9.0,4,4.0,0.0,0.0
アスクブームキセキ,7.0,11.0,4,4.0,35.0,35.0
アスクホープマン,7.0,7.0,2,4.0,35.0,35.0
アスクムービーオン,7.166666666666667,10.0,7,4.0,35.0,29.166666666666668
アスクメークシェア,9.272727272727273,7.0,12,4.0,35.0,6.363636363636363
アスクワイルドモア,11.25,10.0,5,4.0,0.0,0.0
アスクワンタイム,6.583333333333333,3.0,13,4.0,35.0,14.583333333333334
アスクヴィヴァユー,8.0,8.0,1,4.0,35.0,35.0
アスクヴォルテージ,6.0,9.0,10,4.0,35.0,27.22222222222222
アスコットアイ,5.230769230769231,1.0,14,4.0,35.0,18.846153846153847
アスコットダンス,7.0,4.0,6,4.0,35.0,21.0
アスコットレイ,14.666666666666666,14.0,4,4.0,0.0,0.0
アスコットロマン,11.0,6.0,6,4.0,35.0,7.0
アスコットヴェール,3.3333333333333335,2.0,4,4.0,35.0,35.0
アスコリピチェーノ,2.6,7.0,6,4.0,35.0,7.0
アスコルターレ,8.0,8.0,1,4.0,35.0,35.0
アスコルティアーモ,7.375,14.0,9,4.0,35.0,8.75
アスゴッド,5.133333333333334,1.0,16,4.0,35.0,9.333333333333334
アスセナ,14.0,15.0,3,4.0,0.0,0.0
アスタイクウス,10.4,11.0,6,4.0,35.0,14.0
アスタウイン,9.5,7.0,3,4.0,35.0,35.0
アスタラビスタ,8.666666666666666,5.0,4,4.0,0.0,0.0
アスターエポワス,3.0,3.0,4,4.0,35.0,35.0
アスターエルビウム,10.0,9.0,4,4.0,0.0,0.0
アスターシッキム,9.333333333333334,12.0,4,4.0,35.0,23.333333333333332
アスターシャウルス,11.5,13.0,3,4.0,35.0,35.0
アスターチェンチ,9.8,8.0,6,4.0,0.0,0.0
アスターディゴン,3.6,2.0,6,4.0,0.0,0.0
アスターディンブラ,15.5,15.0,3,4.0,35.0,35.0
アスターニルギリ,9.0,11.0,5,4.0,35.0,8.75
アスターブジエ,5.6875,12.0,17,4.0,35.0,17.5
アスターヘキサゴン,11.0,14.0,3,4.0,0.0,0.0
アスターラングル,16.0,16.0,2,4.0,35.0,35.0
アスターリコッタ,13.0,12.0,4,4.0,35.0,35.0
アスタールテニウム,8.5,12.0,13,4.0,35.0,17.5
アスタールフナ,5.142857142857143,4.0,15,4.0,35.0,30.0
アスティ,10.25,7.0,5,4.0,0.0,0.0
アスティスプマンテ,4.5625,4.0,17,4.0,35.0,15.3125
アステリアート,4.0,4.0,2,4.0,35.0,35.0
アステルスフィーダ,14.25,14.0,5,4.0,0.0,0.0
アステルディーヴァ,8.0,8.0,1,4.0,35.0,35.0
アステルリヴェール,10.666666666666666,8.0,4,4.0,35.0,23.333333333333332
アステロイドベルト,9.0,6.0,4,4.0,0.0,0.0
アステロイドメア,6.714285714285714,9.0,15,4.0,35.0,2.5
アストラアヴィス,8.0,8.0,1,4.0,35.0,35.0
アストラカ,5.0,13.0,13,4.0,35.0,11.666666666666666
アストラッド,7.9,14.0,11,4.0,35.0,7.0
アストラリオン,8.0,8.0,2,4.0,35.0,35.0
アストラン,9.2,10.0,6,4.0,0.0,0.0
アストリット,16.0,17.0,3,4.0,0.0,0.0
アストリル,3.0,2.0,6,4.0,35.0,21.0
アストロフィライト,4.5,1.0,5,4.0,0.0,0.0
アストロマーチ,14.0,14.0,2,4.0,0.0,0.0
アストロラヴ,14.0,12.0,3,4.0,0.0,0.0
アストロレガシー,8.0,8.0,1,4.0,35.0,35.0
アスパラゴ,7.833333333333333,8.0,7,4.0,35.0,23.333333333333332
アスピノール,14.0,14.0,2,4.0,0.0,0.0
アスピラシオン,7.0,6.0,3,4.0,35.0,35.0
アスプリージャ,6.666666666666667,10.0,13,4.0,35.0,5.833333333333333
アスミル,4.333333333333333,4.0,10,4.0,35.0,31.11111111111111
アスロス,6.0,6.0,4,4.0,0.0,0.0
アズサ,16.0,15.0,3,4.0,35.0,17.5
アズベリー,5.333333333333333,5.0,7,4.0,0.0,0.0
アズマサクラエモン,9.25,6.0,9,4.0,0.0,0.0
アズユーライク,7.5,16.0,7,4.0,35.0,35.0
アズライトアスール,10.333333333333334,11.0,4,4.0,35.0,35.0
アズーラ,11.125,15.0,9,4.0,35.0,4.375
アズーロエマローネ,13.5,16.0,3,4.0,35.0,35.0
アセレラシオン,5.357142857142857,5.0,15,4.0,35.0,2.5
アセンディア,4.714285714285714,2.0,8,4.0,0.0,0.0
アセンブリールーム,5.5,2.0,9,4.0,35.0,17.5
アゼム,8.0,5.0,9,4.0,35.0,30.625
アタカンテ,14.0,14.0,3,4.0,0.0,0.0
アタゴバリュー,8.0,8.0,1,4.0,35.0,35.0
アタックエース,16.0,16.0,2,4.0,0.0,0.0
アタックスリー,15.0,13.0,3,4.0,35.0,17.5
アタラシイカドデニ,9.333333333333334,13.0,7,4.0,35.0,23.333333333333332
アタラヨ,7.0,10.0,3,4.0,0.0,0.0
アタリダイキチ,6.25,1.0,9,4.0,35.0,21.875
アダマント,10.333333333333334,12.0,4,4.0,35.0,23.333333333333332
アチーヴァー,1.0,1.0,2,4.0,35.0,35.0
アッカン,4.666666666666667,15.0,7,4.0,35.0,11.666666666666666
アックアヴィリーレ,13.75,17.0,5,4.0,35.0,17.5
アックラマーレ,10.0,10.0,2,4.0,0.0,0.0
アッケシ,6.833333333333333,8.0,7,4.0,35.0,11.666666666666666
アッサジャン,9.75,16.0,5,4.0,0.0,0.0
アッシズオブローズ,6.666666666666667,12.0,4,4.0,35.0,11.666666666666666
アッシュグレイス,12.0,12.0,2,4.0,35.0,35.0
アッシュバーグ,6.846153846153846,13.0,14,4.0,35.0,10.76923076923077
