馬名,全体過去平均着順,前走着順,出走回数,前走脚質_num,前走上がり3F,過去平均上がり3F
レディホークダイヤ,11.0,9.0,3,4.0,35.0,35.0
レディマキシマ,5.25,10.0,13,4.0,0.0,0.0
レディマリオン,4.333333333333333,14.0,16,4.0,35.0,14.0
レディメローラ,8.333333333333334,18.0,16,4.0,35.0,14.0
レディリリス,8.0,8.0,1,4.0,35.0,35.0
レディントン,5.2727272727272725,8.0,12,4.0,35.0,9.545454545454545
レディーエンジェル,11.0,12.0,9,4.0,0.0,0.0
レディーゴール,5.285714285714286,8.0,8,4.0,35.0,30.0
レディーシス,6.555555555555555,6.0,10,4.0,0.0,0.0
レディーズナイト,9.5,4.0,5,4.0,0.0,0.0
レディーフランシス,6.0,12.0,10,4.0,35.0,19.444444444444443
レディーミコノス,3.7142857142857144,5.0,8,4.0,35.0,35.0
レディーヴァリュー,4.0,16.0,9,4.0,35.0,17.5
レデツカ,8.0,8.0,1,4.0,35.0,35.0
レトロタイプ,8.4,5.0,6,4.0,0.0,0.0
レトロブーム,10.0,7.0,6,4.0,35.0,7.0
レトワールダムール,8.0,8.0,1,4.0,35.0,35.0
レドンホール,8.666666666666666,12.0,4,4.0,0.0,0.0
レナーテテソーロ,8.0,8.0,1,4.0,35.0,35.0
レネガード,13.0,14.0,3,4.0,0.0,0.0
レネネト,9.5,12.0,3,4.0,35.0,35.0
レピュニット,3.1666666666666665,1.0,7,4.0,35.0,29.166666666666668
レフィナード,11.25,14.0,5,4.0,35.0,17.5
レフィノス,14.0,10.0,4,4.0,35.0,35.0
レフティサーリ,10.5,15.0,5,4.0,35.0,35.0
レフトフィールダー,10.0,10.0,2,4.0,0.0,0.0
レフレクシオ,10.0,11.0,4,4.0,35.0,23.333333333333332
レプス,14.0,14.0,2,4.0,35.0,35.0
レプレセンタル,8.0,8.0,1,4.0,35.0,35.0
レプンカムイ,11.0,8.0,3,4.0,0.0,0.0
レベチアミーゴ,7.0,7.0,2,4.0,0.0,0.0
レベッカレインボー,9.0,9.0,2,4.0,0.0,0.0
レベランス,8.0,8.0,1,4.0,35.0,35.0
レベリオン,16.0,16.0,2,4.0,0.0,0.0
レベルスルール,4.444444444444445,7.0,10,4.0,35.0,27.22222222222222
レベルソ,8.0,8.0,1,4.0,35.0,35.0
レベレンシア,5.714285714285714,6.0,8,4.0,35.0,10.0
レペンテ,5.0,5.0,2,4.0,0.0,0.0
レボルシオン,4.2,4.0,6,4.0,0.0,0.0
レミギノテソーロ,15.0,15.0,2,4.0,0.0,0.0
レミージュ,5.857142857142857,2.0,15,4.0,35.0,10.0
レモンシフォン,8.5,14.0,13,4.0,35.0,2.9166666666666665
レモンスフレ,12.0,12.0,2,4.0,0.0,0.0
レモンドルチェ,8.0,8.0,1,4.0,35.0,35.0
レモンバーム,7.555555555555555,6.0,10,4.0,35.0,19.444444444444443
レモンポップ,8.0,8.0,1,4.0,35.0,35.0
レヨンドゥソレイユ,8.0,8.0,1,4.0,35.0,35.0
レリジールダモーレ,6.666666666666667,12.0,4,4.0,0.0,0.0
レリッシュ,10.095238095238095,11.0,22,4.0,35.0,8.333333333333334
レレリオーナ,8.0,8.0,1,4.0,35.0,35.0
レンジャーズハウス,14.0,14.0,2,4.0,0.0,0.0
レヴァンターセ,8.0,7.0,3,4.0,35.0,35.0
レヴァンティス,12.333333333333334,11.0,4,4.0,35.0,11.666666666666666
レヴァンテシチー,3.0,2.0,10,4.0,35.0,31.11111111111111
レヴァントリ,6.5,9.0,13,4.0,35.0,14.583333333333334
レヴィアタン,8.6,8.0,6,4.0,0.0,0.0
レヴィストーン,13.666666666666666,14.0,4,4.0,35.0,23.333333333333332
レヴィテーション,7.666666666666667,7.0,7,4.0,35.0,5.833333333333333
レヴェランジェ,4.833333333333333,3.0,7,4.0,35.0,23.333333333333332
レヴェンドール,7.0,6.0,4,4.0,35.0,11.666666666666666
レヴォリオ,8.0,8.0,1,4.0,35.0,35.0
レヴォルタード,10.5,11.0,5,4.0,0.0,0.0
レヴォントゥレット,4.666666666666667,5.0,13,4.0,35.0,14.583333333333334
レヴロード,11.2,7.0,6,4.0,35.0,35.0
レヴヴィ,14.0,14.0,2,4.0,35.0,35.0
レヴーズマン,3.6666666666666665,3.0,4,4.0,0.0,0.0
レヴール,8.0,11.0,5,4.0,0.0,0.0
レーウィン,6.066666666666666,9.0,16,4.0,35.0,21.0
レーザーキック,8.0,8.0,2,4.0,35.0,35.0
レーザーショー,6.0,6.0,2,4.0,0.0,0.0
レーザービーム,15.0,15.0,2,4.0,0.0,0.0
レースクイーン,8.0,8.0,4,4.0,35.0,11.666666666666666
レースノワエ,8.0,8.0,1,4.0,35.0,35.0
レーゼドラマ,7.875,6.0,9,4.0,35.0,17.5
レーティッシュ,4.3076923076923075,2.0,14,4.0,35.0,21.53846153846154
レーニス,5.571428571428571,3.0,8,4.0,0.0,0.0
レーヌガレット,7.8,6.0,6,4.0,0.0,0.0
レーヌクロード,14.5,15.0,3,4.0,0.0,0.0
レーヌシェーヌ,6.0,6.0,2,4.0,35.0,35.0
レーヌデプレ,15.0,15.0,2,4.0,0.0,0.0
レーヌドフルール,14.0,14.0,4,4.0,0.0,0.0
レーヌペスカ,8.0,8.0,1,4.0,35.0,35.0
レーヌマロン,5.533333333333333,5.0,16,4.0,35.0,23.333333333333332
レーベンスティール,6.0,1.0,10,4.0,35.0,15.555555555555555
レーベンヘルツ,4.2,3.0,11,4.0,0.0,0.0
レーンアジリティ,8.928571428571429,2.0,15,4.0,35.0,25.0
レーヴァテイン,11.0,11.0,2,4.0,0.0,0.0
レーヴジーニアル,5.5,5.0,7,4.0,35.0,11.666666666666666
レーヴセクレタ,11.0,11.0,2,4.0,35.0,35.0
レーヴドアンジュ,8.25,9.0,9,4.0,35.0,35.0
レーヴドオルフェ,8.0,8.0,1,4.0,35.0,35.0
レーヴドクロンヌ,11.5,11.0,3,4.0,35.0,17.5
レーヴドリュヌ,11.0,11.0,2,4.0,35.0,35.0
レーヴドレフォン,4.809523809523809,7.0,22,4.0,35.0,5.0
レーヴドロペラ,5.5,7.0,11,4.0,35.0,3.5
レーヴブリリアント,6.545454545454546,3.0,12,4.0,35.0,25.454545454545453
レーヴリアン,8.5,11.0,3,4.0,0.0,0.0
レーヴルーバ,8.0,8.0,2,4.0,35.0,35.0
レーヴレジェンド,7.7,14.0,11,4.0,0.0,0.0
ロアゾンパルク,13.0,13.0,2,4.0,0.0,0.0
ロアノークテソーロ,9.75,6.0,5,4.0,0.0,0.0
ロアリングフレイム,4.333333333333333,2.0,4,4.0,0.0,0.0
ロアヴィヴィエンヌ,11.25,13.0,9,4.0,35.0,4.375
ロイガヴェーグル,7.2,12.0,6,4.0,35.0,21.0
ロイスター,1.0,1.0,2,4.0,35.0,35.0
ロイドバローズ,7.6,7.0,6,4.0,0.0,0.0
ロイドール,8.0,8.0,2,4.0,0.0,0.0
ロイヤルアデレード,3.5,4.0,3,4.0,35.0,35.0
ロイヤルイブキ,8.714285714285714,12.0,8,4.0,0.0,0.0
ロイヤルウィル,4.8,2.0,11,4.0,35.0,21.0
ロイヤルカスタマー,13.4,14.0,6,4.0,0.0,0.0
ロイヤルキャピタル,8.0,8.0,2,4.0,0.0,0.0
ロイヤルスパイア,2.625,1.0,9,4.0,35.0,26.25
ロイヤルソウル,7.0,3.0,6,4.0,0.0,0.0
ロイヤルタイム,7.125,10.0,9,4.0,35.0,17.5
ロイヤルダンス,9.181818181818182,14.0,12,4.0,35.0,6.363636363636363
ロイヤルテール,6.5,7.0,5,4.0,35.0,17.5
ロイヤルドリーム,9.0,9.0,2,4.0,35.0,35.0
ロイヤルヤマト,8.4,9.0,6,4.0,35.0,21.0
ロカヒ,3.2,1.0,11,4.0,35.0,24.5
ロカブルン,9.0,9.0,3,4.0,0.0,0.0
ロギッシュ,16.0,16.0,2,4.0,0.0,0.0
ロクサーヌ,10.0,10.0,2,4.0,35.0,35.0
ロクシアス,8.5,13.0,5,4.0,0.0,0.0
ログラール,5.076923076923077,4.0,14,4.0,35.0,16.153846153846153
ロケットバディー,8.4,10.0,6,4.0,0.0,0.0
ロケットパンチ,6.0,7.0,5,4.0,35.0,17.5
ロケットホームラン,5.142857142857143,3.0,8,4.0,0.0,0.0
ロケベンドラ,6.0,2.0,6,4.0,35.0,28.0
ロコウォリアー,8.0,8.0,1,4.0,35.0,35.0
ロココ,6.857142857142857,6.0,8,4.0,35.0,15.0
ロコポルティ,7.7272727272727275,16.0,12,4.0,35.0,6.363636363636363
ロコモーション,9.5,9.0,3,4.0,0.0,0.0
ロコルルハーツ,9.25,9.0,5,4.0,0.0,0.0
ロゴサウンド,12.0,13.0,4,4.0,0.0,0.0
ロゴデザイン,8.333333333333334,6.0,4,4.0,0.0,0.0
ロゴモコ,9.25,10.0,5,4.0,0.0,0.0
ロサドラーダ,3.0,3.0,4,4.0,35.0,35.0
ロサルゴサ,5.5,4.0,3,4.0,35.0,35.0
ロサンゼルス,7.3,16.0,21,4.0,35.0,17.5
ロザシアニン,9.285714285714286,13.0,15,4.0,0.0,0.0
ロザリアン,11.4,12.0,6,4.0,0.0,0.0
ロザヴィータ,7.0,7.0,2,4.0,35.0,35.0
ロザーンジュ,4.75,1.0,5,4.0,35.0,35.0
ロジアデレード,3.857142857142857,6.0,15,4.0,35.0,12.5
ロジアンドモルタル,11.0,16.0,3,4.0,0.0,0.0
ロジアヴァンセ,7.857142857142857,5.0,8,4.0,35.0,15.0
ロジウムエポック,10.857142857142858,12.0,8,4.0,35.0,20.0
ロジカルワーズ,4.714285714285714,3.0,15,4.0,35.0,5.0
ロジキセキ,11.666666666666666,11.0,4,4.0,35.0,23.333333333333332
ロジクリスエス,5.5,2.0,3,4.0,35.0,35.0
ロジケープ,2.6,3.0,6,4.0,35.0,21.0
ロジゴールデン,7.0,10.0,3,4.0,0.0,0.0
ロジサビアーレ,13.333333333333334,10.0,4,4.0,0.0,0.0
ロジザボード,8.0,8.0,3,4.0,35.0,35.0
ロジシルバー,4.733333333333333,7.0,16,4.0,35.0,7.0
ロジシーザ,7.333333333333333,9.0,4,4.0,35.0,35.0
ロジジェンス,16.0,16.0,2,4.0,0.0,0.0
ロジスカヤ,7.6,7.0,6,4.0,35.0,14.0
ロジスクリーン,6.5,6.0,5,4.0,0.0,0.0
ロジステート,9.0,13.0,8,4.0,35.0,10.0
ロジディーズ,12.833333333333334,16.0,7,4.0,0.0,0.0
ロジハービン,11.0,11.0,2,4.0,0.0,0.0
ロジピエルフ,10.0,10.0,3,4.0,0.0,0.0
ロジプラヤ,5.2,9.0,6,4.0,0.0,0.0
ロジマギー,8.5,5.0,3,4.0,35.0,35.0
ロジマンボ,11.818181818181818,10.0,12,4.0,35.0,9.545454545454545
ロジミザイ,13.0,13.0,2,4.0,0.0,0.0
ロジャリーマイン,6.666666666666667,17.0,4,4.0,0.0,0.0
ロジャートアリー,9.0,11.0,5,4.0,35.0,35.0
ロジリオン,3.6363636363636362,1.0,12,4.0,35.0,9.545454545454545
ロジリッキー,8.6,12.0,6,4.0,35.0,14.0
ロジルーラー,10.375,11.0,9,4.0,35.0,8.75
ロジレット,6.0,6.0,2,4.0,0.0,0.0
ロジヴィクトリア,10.333333333333334,11.0,4,4.0,0.0,0.0
ロスコフ,2.25,1.0,5,4.0,0.0,0.0
ロスティチェーレ,6.8,4.0,11,4.0,35.0,10.5
ロストシークレット,2.857142857142857,3.0,8,4.0,35.0,15.0
ロストボール,9.827586206896552,10.0,30,4.0,35.0,8.448275862068966
ロスニーニョス,9.0,9.0,7,4.0,35.0,35.0
ロスパレドネス,5.0,5.0,2,4.0,0.0,0.0
ロゼア,8.5,13.0,5,4.0,35.0,35.0
ロゼアクアリオ,18.0,18.0,2,4.0,35.0,35.0
ロゼインパルス,15.0,12.0,3,4.0,0.0,0.0
ロゼクラン,7.909090909090909,10.0,12,4.0,35.0,6.363636363636363
ロゼフェリシア,8.0,8.0,1,4.0,35.0,35.0
ロゼフレア,7.4,6.0,6,4.0,0.0,0.0
ロゼル,7.0,7.0,22,4.0,35.0,15.0
ロッカバイベイビー,6.214285714285714,14.0,15,4.0,35.0,12.5
ロッキンドア,14.0,13.0,3,4.0,0.0,0.0
ロッキンミー,8.333333333333334,2.0,10,4.0,35.0,15.555555555555555
